iter	Passed	Remaining
0	0	47
1	0	42
2	0	41
3	1	40
4	1	39
5	1	38
6	1	39
7	2	38
8	2	38
9	2	37
10	2	37
11	3	37
12	3	37
13	3	37
14	4	36
15	4	36
16	4	35
17	4	34
18	5	34
19	5	34
20	5	34
21	5	34
22	6	34
23	6	33
24	6	33
25	6	32
26	7	32
27	7	32
28	7	31
29	7	31
30	8	31
31	8	30
32	8	30
33	8	30
34	9	29
35	9	29
36	9	29
37	9	28
38	9	28
39	10	28
40	10	27
41	10	27
42	10	27
43	11	26
44	11	26
45	11	26
46	11	25
47	12	25
48	12	25
49	12	24
50	12	24
51	12	24
52	13	24
53	13	23
54	13	23
55	13	23
56	14	22
57	14	22
58	14	22
59	14	22
60	14	21
61	15	21
62	15	21
63	15	21
64	15	20
65	16	20
66	16	20
67	16	20
68	17	19
69	17	19
70	17	19
71	17	19
72	18	19
73	18	18
74	18	18
75	18	18
76	19	18
77	19	17
78	19	17
79	19	17
80	19	16
81	20	16
82	20	16
83	20	16
84	20	15
85	20	15
86	21	15
87	21	15
88	21	14
89	21	14
90	22	14
91	22	14
92	22	13
93	22	13
94	22	13
95	23	13
96	23	12
97	23	12
98	23	12
99	24	12
100	24	11
101	24	11
102	24	11
103	25	11
104	25	10
105	25	10
106	25	10
107	26	10
108	26	9
109	26	9
110	26	9
111	27	9
112	27	8
113	27	8
114	27	8
115	28	8
116	28	7
117	28	7
118	28	7
119	29	7
120	29	7
121	29	6
122	29	6
123	29	6
124	30	6
125	30	5
126	30	5
127	30	5
128	31	5
129	31	4
130	31	4
131	31	4
132	32	4
133	32	3
134	32	3
135	32	3
136	33	3
137	33	2
138	33	2
139	33	2
140	34	2
141	34	1
142	34	1
143	34	1
144	35	1
145	35	0
146	35	0
147	35	0
148	36	0
149	36	0
