iter	Passed	Remaining
0	56	56885
1	57	28633
2	57	19188
3	58	14450
4	58	11611
5	58	9734
6	59	8395
7	59	7376
8	59	6588
9	60	5951
10	60	5437
11	60	5004
12	61	4634
13	61	4324
14	61	4059
15	62	3821
16	62	3612
17	62	3425
18	63	3259
19	63	3106
20	63	2969
21	63	2844
22	64	2729
23	64	2625
24	64	2533
25	65	2444
26	65	2362
27	65	2285
28	66	2215
29	66	2148
30	66	2088
31	67	2031
32	67	1976
33	67	1927
34	68	1879
35	68	1832
36	68	1788
37	69	1747
38	69	1709
39	69	1673
40	70	1639
41	70	1606
42	70	1574
43	71	1544
44	71	1514
45	71	1485
46	71	1459
47	72	1433
48	72	1409
49	73	1387
50	73	1366
51	73	1344
52	74	1323
53	74	1302
54	74	1282
55	74	1262
56	75	1245
57	75	1227
58	75	1209
59	76	1193
60	76	1178
61	76	1163
62	77	1148
63	77	1133
64	77	1121
65	78	1107
66	78	1093
67	78	1080
68	79	1067
69	79	1054
70	79	1042
71	80	1032
72	80	1020
73	80	1008
74	80	997
75	81	986
76	81	977
77	81	967
78	82	957
79	82	947
80	82	938
81	82	928
82	83	917
83	83	909
84	83	900
85	84	892
86	84	884
87	84	878
88	85	872
89	85	866
90	85	858
91	86	851
92	86	844
93	86	838
94	87	831
95	87	825
96	87	818
97	88	813
98	88	806
99	88	799
100	89	793
101	89	787
102	89	781
103	90	776
104	90	770
105	90	765
106	91	760
107	91	755
108	91	749
109	92	744
110	92	740
111	92	734
112	92	729
113	93	724
114	93	720
115	93	715
116	94	710
117	94	706
118	94	701
119	95	697
120	95	694
121	95	689
122	96	685
123	96	681
124	96	677
125	97	673
126	97	668
127	97	665
128	97	660
129	98	657
130	98	653
131	98	649
132	99	645
133	99	642
134	99	639
135	100	636
136	100	633
137	100	630
138	101	626
139	101	623
140	101	620
141	102	616
142	102	613
143	102	610
144	102	606
145	103	603
146	103	600
147	103	597
148	104	594
149	104	591
150	104	588
151	105	585
152	105	583
153	105	580
154	106	578
155	106	575
156	106	572
157	106	570
158	107	567
159	107	564
160	107	561
161	107	558
162	108	555
163	108	553
164	108	550
165	109	547
166	109	545
167	109	542
168	109	540
169	110	538
170	110	536
171	110	534
172	111	531
173	111	529
174	111	527
175	112	525
176	112	522
177	112	520
178	113	518
179	113	516
180	113	513
181	113	511
182	114	510
183	114	507
184	114	505
185	115	503
186	115	501
187	115	500
188	116	498
189	116	496
190	116	495
191	117	493
192	117	491
193	117	489
194	118	488
195	118	486
196	118	484
197	119	482
198	119	480
199	119	478
200	120	477
201	120	475
202	120	474
203	120	472
204	121	470
205	121	468
206	121	466
207	122	465
208	122	463
209	122	462
210	123	460
211	123	459
212	123	457
213	124	455
214	124	454
215	124	452
216	125	451
217	125	449
218	125	447
219	125	446
220	126	444
221	126	442
222	126	441
223	126	439
224	127	438
225	127	437
226	128	435
227	128	434
228	128	433
229	128	431
230	129	430
231	129	429
232	130	428
233	130	426
234	130	425
235	131	424
236	131	422
237	131	421
238	131	419
239	132	418
240	132	417
241	132	415
242	133	414
243	133	413
244	133	412
245	134	410
246	134	409
247	134	408
248	135	407
249	135	406
250	135	404
251	135	403
252	136	402
253	136	401
254	136	399
255	137	398
256	137	397
257	137	396
258	138	395
259	138	393
260	138	392
261	139	391
262	139	390
263	139	389
264	139	388
265	140	387
266	140	385
267	140	384
268	141	384
269	141	383
270	142	382
271	142	381
272	142	380
273	143	379
274	143	378
275	143	377
276	144	375
277	144	375
278	144	374
279	145	373
280	145	372
281	145	370
282	145	369
283	146	368
284	146	367
285	146	366
286	147	365
287	147	364
288	147	363
289	148	363
290	148	362
291	149	361
292	149	360
293	149	359
294	150	358
295	150	357
296	150	356
297	151	355
298	151	354
299	151	353
300	151	352
301	152	351
302	152	350
303	152	350
304	153	349
305	153	348
306	153	347
307	154	346
308	154	345
309	154	344
310	155	343
311	155	342
312	155	341
313	155	340
314	156	339
315	156	339
316	156	338
317	157	337
318	157	336
319	157	335
320	158	334
321	158	333
322	158	332
323	159	331
324	159	331
325	159	330
326	159	329
327	160	328
328	160	327
329	160	326
330	161	325
331	161	324
332	161	323
333	162	323
334	162	322
335	162	321
336	163	320
337	163	320
338	163	319
339	164	318
340	164	317
341	164	316
342	164	315
343	165	315
344	165	314
345	165	313
346	166	312
347	166	311
348	166	310
349	166	310
350	167	309
351	167	308
352	167	307
353	168	306
354	168	306
355	168	305
356	169	304
357	169	303
358	169	303
359	170	302
360	170	301
361	170	301
362	171	300
363	171	299
364	171	298
365	171	297
366	172	296
367	172	296
368	172	295
369	173	294
370	173	294
371	173	293
372	174	292
373	174	291
374	174	291
375	175	290
376	175	289
377	175	288
378	175	288
379	176	287
380	176	286
381	176	285
382	176	285
383	177	284
384	177	283
385	177	282
386	178	282
387	178	281
388	178	280
389	179	280
390	179	279
391	179	278
392	180	278
393	180	277
394	180	276
395	181	276
396	181	275
397	181	275
398	182	274
399	182	273
400	182	273
401	183	272
402	183	271
403	183	270
404	183	270
405	184	269
406	184	268
407	184	268
408	184	267
409	185	266
410	185	265
411	185	265
412	185	264
413	186	263
414	186	262
415	186	262
416	186	261
417	187	260
418	187	259
419	187	259
420	187	258
421	188	257
422	188	257
423	188	256
424	188	255
425	189	254
426	189	254
427	189	253
428	189	252
429	190	251
430	190	251
431	190	250
432	190	249
433	191	249
434	191	248
435	191	247
436	191	247
437	192	246
438	192	245
439	192	245
440	192	244
441	193	243
442	193	243
443	193	242
444	193	241
445	194	241
446	194	240
447	194	239
448	194	239
449	195	238
450	195	237
451	195	237
452	195	236
453	196	235
454	196	235
455	196	234
456	196	233
457	197	233
458	197	232
459	197	232
460	197	231
461	198	230
462	198	230
463	198	229
464	198	228
465	199	228
466	199	227
467	199	227
468	199	226
469	200	225
470	200	225
471	200	224
472	200	223
473	201	223
474	201	222
475	201	222
476	202	221
477	202	220
478	202	220
479	202	219
480	202	219
481	203	218
482	203	217
483	203	217
484	204	216
485	204	216
486	204	215
487	204	214
488	205	214
489	205	213
490	205	213
491	205	212
492	205	211
493	206	211
494	206	210
495	206	210
496	206	209
497	207	208
498	207	208
499	207	207
500	207	207
501	208	206
502	208	205
503	208	205
504	208	204
505	209	204
506	209	203
507	209	203
508	209	202
509	210	201
510	210	201
511	210	200
512	210	200
513	211	199
514	211	199
515	211	198
516	211	197
517	212	197
518	212	196
519	212	196
520	212	195
521	213	195
522	213	194
523	213	193
524	213	193
525	214	192
526	214	192
527	214	191
528	214	191
529	215	190
530	215	190
531	215	189
532	215	189
533	216	188
534	216	187
535	216	187
536	216	186
537	217	186
538	217	185
539	217	185
540	217	184
